marker,complexity,rank
number_schools,0.018436732368045224,bottom
isonics,1.4892070403790278,bottom
identity_theft,1.52318623976379,bottom
security_personnel,1.622846932007127,bottom
jmp_securities,1.884016308520777,bottom
federal_advisory_committee_act,1.953685661609887,bottom
hexaware_technologies,2.7830733774859415,bottom
amazon_redshift,3.0381955954819704,bottom
wework,3.1305113393773816,bottom
non_discrimination,3.9477600292728914,bottom
impinj,66.44013514249683,top
digitech,70.52211535459021,top
electronic_manufacturing_services,74.01174411935085,top
vicon_industries,79.42861025463424,top
globus_medical,86.16477209106733,top
cerence,100.94572854315658,top
kddi,101.49802125936215,top
gentherm_inc,120.4347190650353,top
lumentum_holdings,144.44789671930397,top
fabrinet,195.46409076586244,top
