marker,complexity,velocity,llm_score,llm_category
law_enforcement,4.312391585015862,0.0687424000431753,3.0,intermediate
criminal_activity,5.576401573209815,0.0450305347502491,3.0,intermediate
vote,4.379425773816649,0.0412231777390623,2.0,simple
war,5.6088293480548685,0.0492283250496263,5.0,complex
prison,6.199363636725884,0.0317692952468331,3.0,intermediate
private_guns,6.943941436985878,0.0136676948919857,4.0,intermediate
shooting,3.6693775189722952,0.0219258227348544,4.0,intermediate
murder,7.339945500820763,0.0189634207015656,4.0,intermediate
violence,7.710239148734647,0.0226316384199847,3.0,intermediate
poll,5.489521283436061,0.0120351271901789,2.0,simple
arrest,5.994339011757331,0.0189549880171554,3.0,intermediate
peace,5.172537276100424,0.0239218391347391,2.0,simple
protest,9.028578135037066,0.0138810418075627,3.0,intermediate
getty_images_holdings,4.236421870906801,0.0031765922173069,1.0,simple
democratic_governance,8.339669016254463,0.0128033447399444,4.0,intermediate
feature_judiciary_status,6.739891395387594,0.0161190762500189,4.0,intermediate
military_bomb,8.797239563962018,0.0078348070854787,5.0,complex
civil_rights,7.994994743899749,0.0082817393592171,4.0,intermediate
criticism,5.965044160190794,0.0118125043217507,2.0,simple
feature_government_system,8.24273724105683,0.0095129112831003,4.0,intermediate
illegal_immigration,6.253886403695243,0.0043630709138162,4.0,intermediate
racial_discrimination,9.38442519706141,0.0051785114962786,4.0,complex
cease_fire,5.758550975948018,0.0037306195830543,3.0,intermediate
detention,7.650048669749941,0.0054373949076705,3.0,intermediate
new_years_eve,3.9890591277560654,0.0043723468666674,1.0,simple
riot,13.443672901979014,0.0035805178005535,4.0,complex
fencing,4.803202393695697,0.0040434721746712,1.0,simple
antisemitism,14.137190982869315,0.0019993894736487,4.0,complex
crackdown,8.814073253997082,0.0040122712423536,4.0,complex
genocide,10.29141185843031,0.0046725504316691,5.0,complex
outrage,9.997198962763948,0.004830241630139,3.0,intermediate
presidential_election,9.61804615583072,0.004883367541923,3.0,intermediate
fake_news,7.373595964839185,0.00392625786137,3.0,intermediate
misconduct,6.716173733348161,0.0035990697062558,3.0,intermediate
nuclear_bomb,11.249512859469322,0.0014116313702606,5.0,complex
kidnapping,7.887270749923478,0.0048471069989594,4.0,complex
retaliation,8.123476087364114,0.0037466416834336,4.0,complex
civil_war,12.24844179953762,0.003607502390666,5.0,complex
sexual_abuse,6.157984362624396,0.0023780170036648,4.0,complex
rule_law,8.50388814489613,0.0037710964682231,3.0,intermediate
mlk_day,4.700101267051348,0.0024125910097464,2.0,simple
impeachment,10.250018747379952,0.0024893284378789,4.0,complex
textbook,6.163522227665838,0.001273335345934,1.0,simple
congestion_pricing,6.916668982028184,0.0005236697018708,2.0,intermediate
social_justice,5.715071961629332,0.0021638268196468,4.0,complex
air_strike,9.492524826254265,0.0033157315100745,5.0,complex
golf_course,4.927340170424252,0.0018813318919064,1.0,simple
insurrection,14.023499035571415,0.0018897645763166,5.0,complex
prison_population,6.768244111965798,0.0029564991542017,3.0,intermediate
feature_sexuality,8.959171294712643,0.0014554813291934,3.0,intermediate
cold_war,12.198381066918827,0.0015448677839411,5.0,complex
vote_results,13.158401801661954,0.0016587090234782,2.0,intermediate
coup,10.858177278436225,0.0023788602721058,5.0,complex
shoplifting,6.092659865270384,0.0010970922417616,3.0,intermediate
september_11_2001,10.82000184792646,0.0013964525383223,5.0,complex
bomb,11.86918441677646,0.001910003018901,4.0,complex
white_supremacy,14.794474964058208,0.0007294272014787,4.0,complex
democratic_sweep,7.403116145667323,0.0009537366067889,3.0,intermediate
sexual_harassment,8.56731837560776,0.0011519046904277,4.0,complex
iraq_war,29.838924326791677,0.0004098284623337,5.0,complex
cutlery,11.452575274014958,0.0010169817398651,1.0,simple
war_crimes,11.508363836934183,0.0020744403648991,5.0,complex
gamestop,3.772489440638886,0.0002327420897203,2.0,intermediate
golf_club,6.576573427886238,0.0011443152744585,1.0,simple
human_rights_abuses,10.408631786969138,0.0018981972607267,4.0,complex
racial_equality,8.324940980187572,0.0010009596394858,4.0,complex
lying,9.238435839189354,0.0007952021398779,2.0,intermediate
body_camera,8.673424651353963,0.000587758103388,3.0,intermediate
election_tampering,14.445675618891784,0.0008255598037545,4.0,complex
sports_management,1.2336225957829328,0.0004317534418001,2.0,intermediate
vietnam_war,11.35719314999179,0.0007580983284732,5.0,complex
rebellion,12.483778586106377,0.0010220413505112,4.0,complex
apartheid,11.466185171636646,0.0009132597216202,4.0,complex
sig,7.236056802484033,0.0005000581855224,1.0,simple
communism,19.559096695665296,0.0004697005216458,4.0,complex
fire_extinguisher,9.321356801144592,0.0007707473550885,1.0,simple
us_open,9.41333186958308,0.0009503635330249,1.0,simple
existential_threat,7.540705057138548,0.0007842396501447,5.0,complex
office_supplies,1.3365680170797365,0.0005708927345677,1.0,simple
black_lives_matter,14.914006154254684,0.0003980227041595,3.0,intermediate
political_crisis,10.839129170809272,0.0009706019756093,4.0,complex
rebel_group,9.051502284123776,0.0009899971497526,4.0,complex
school_shooting,7.826136911963969,0.0002841814646223,4.0,complex
ethnic_discrimination,14.15483051853854,0.0005776388820958,4.0,complex
military_presence,12.01897711669022,0.0008306194144006,4.0,complex
ipsos,7.345255896156337,0.0003339343026422,1.0,simple
remington_outdoor_company,12.82177685711604,0.0002066007680488,2.0,intermediate
vivendi,88.34423224294963,0.0001011922129219,1.0,simple
smith_wesson_brands,34.21322348010672,0.0001391392927676,2.0,intermediate
korean_war,10.737522112218269,0.0003145391284989,5.0,complex
damaris,10.40296400285204,0.0003415237186114,1.0,simple
mass_shooting,12.369365483995487,0.0002453911163356,4.0,complex
round_one,15.030995599637269,0.0002757487802122,1.0,simple
sparta,9.157317306587249,0.0003457400608165,1.0,simple
canal_plus,99.10762990823468,5.565571710704956e-05,1.0,simple
nuclear_war,12.646081291722751,0.0002285257475153,5.0,complex
gaia,3.6241693474793264,0.0001399825612086,1.0,simple
human_rights_policy,7.599288931102417,0.0004418726630923,4.0,complex
bank_robbery,5.439511670684009,0.0002411747741305,4.0,complex
mosaic_company,12.739505021535916,0.0001155277764191,1.0,simple
corelogic,8.64707285174127,0.0002445478478946,1.0,simple
equity_linked_note,4.464182681146242,0.0004351265155642,3.0,intermediate
state_election,6.918825180746837,0.0001897353992285,3.0,intermediate
voter_fraud,20.72233088629884,0.0002892410752684,4.0,complex
isf,43.35237199743048,5.396918022501775e-05,1.0,simple
biden_presidency,14.586444892660824,0.0001829892517004,3.0,intermediate
congressional_hearing,8.836547497773857,0.0002285257475153,3.0,intermediate
instagram_stories,5.71644377143339,0.0006240186463517,1.0,simple
baseball_bat,39.987108938182296,0.0001770863726133,1.0,simple
ice_chest,3.634331739614897,9.950567603987648e-05,1.0,simple
tear_gas,20.655043706443166,0.0003617621611958,3.0,intermediate
democratic_national_convention,9.658103426556943,0.0002310555528383,3.0,intermediate
las_vegas_sands,1.0489062836795318,0.0001307066083574,1.0,simple
gulf_war,31.78354736917521,0.0001922652045516,5.0,complex
juneteenth,6.174648408962221,0.0001838325201414,2.0,intermediate
sbf,32.8579490529977,0.0001129979710961,1.0,simple
police_brutality,14.30230007908302,0.0002943006859145,4.0,complex
opinion_polls,14.262537205661417,0.0003288746919962,2.0,intermediate
caire,10.532139100625365,0.0001290200714754,1.0,simple
westpac_banking,9.009910179501787,0.0002496074585407,1.0,simple
office_furniture,24.83115017578679,0.0002066007680488,1.0,simple
national_vision,1.0200814495243622,0.0002175632577821,1.0,simple
stun_gun,41.57125041288966,0.0001534748562648,1.0,simple
bandage,3.973205512642524,0.0001492585140598,1.0,simple
hockey_stick,38.3897790924059,0.0001804594463774,1.0,simple
change_of_control,13.775724484906846,0.0003415237186114,2.0,intermediate
boston_marathon,8.692788685976188,0.0001231171923883,1.0,simple
lgbtq_rights,11.260607396361168,0.0002049142311668,3.0,intermediate
delias,4.071011023343541,0.0002217795999871,1.0,simple
ryder_cup,7.43640999728834,0.0001222739239473,1.0,simple
albus,29.984189325021894,4.806630113790644e-05,1.0,simple
racquet,5.557327143949459,0.0001872055939055,1.0,simple
cs_disco,0.97703892759591,5.059610646095415e-06,1.0,simple
sanctions_relief,6.254106493465822,0.0001737132988492,3.0,intermediate
hatchet,33.68925201784167,0.0001770863726133,1.0,simple
mup,5.255882925459956,0.0001323931452394,1.0,simple
sturm_ruger_&_co,38.61109285531376,2.6984590112508878e-05,2.0,intermediate
declaration_war,15.07542063221389,0.0001787729094953,5.0,complex
local_election,9.127318718417222,0.0001248037292703,3.0,intermediate
korn_ferry_international,5.861884181938241,0.0002378017003664,1.0,simple
