publisher,label,lastupdated
6038,24-7 Press Release,2019-08-19T19:09:16.980Z
6024,3BL Media,2019-08-19T19:09:16.980Z
8163,AB Digital,2019-08-19T19:09:16.980Z
8153,ACI Information Group,2020-06-17T16:20:26.123Z
11,AHC Media,2021-12-04T19:39:52.764Z
6074,APN New Zealand Ltd,2019-08-19T19:09:16.980Z
14,ARKA News Agency,2019-08-19T19:09:16.980Z
8278,ARR News Story,2021-12-04T19:39:05.131Z
3,Access Intelligence,2019-08-19T19:09:16.980Z
8141,Accesswire,2020-06-17T16:22:06.838Z
165,Acquire Media,2019-08-19T19:09:16.980Z
8154,Acquisdata,2019-08-19T19:09:16.980Z
8155,Action Economics,2019-08-19T19:09:16.980Z
5,Actusnews,2019-08-19T19:09:16.980Z
7,"Advance Publications, Inc.",2019-08-19T19:09:16.980Z
8215,Adweek,2020-06-17T17:12:51.916Z
310,African Press Organization,2019-08-19T19:09:16.980Z
9,Agence France Presse,2019-08-19T19:09:16.980Z
19,Aii Data Processing Ltd,2019-08-19T19:09:16.980Z
8167,AirInsight,2019-08-19T19:09:16.980Z
242,All Africa Global Media,2019-08-19T19:09:16.980Z
6041,Alliance News,2020-06-17T16:39:14.340Z
6079,Allied Media,2020-06-17T16:52:44.280Z
am,Amsterdam Gold,2023-06-14T21:13:23.894Z
292,Archant Limited,2019-08-19T19:09:16.980Z
235,Asia Business News,2020-06-17T16:57:29.747Z
16,"Associated Press, The",2019-08-19T19:09:16.980Z
17,Australian Associated Press,2019-08-19T19:09:16.980Z
8273,Autovia,2021-12-04T19:38:09.310Z
205,BNK Invest,2019-08-19T19:09:16.980Z
239,Bangladesh Sangbad Sangstha,2020-06-17T16:18:02.355Z
20,Baystreet.ca,2020-06-17T16:25:56.870Z
218,Benzinga,2019-08-19T19:09:16.980Z
8165,Black Press Group,2019-08-19T19:09:16.980Z
8209,Blockchain Wire,2020-06-17T17:20:54.033Z
21,Boston Globe,2020-06-11T20:20:48.301Z
8289,Breaking Media,2023-03-13T18:41:35.383Z
8211,BridgeTower Media,2020-09-03T23:54:16.649Z
23,British Broadcasting Corporation - BBC Monitoring,2019-08-19T19:09:16.980Z
8188,Brunton Business Publications,2020-06-17T17:14:44.654Z
6013,Business Monitor International,2019-08-19T19:09:16.980Z
24,Business News Americas,2020-06-17T16:25:08.337Z
25,Business Wire,2020-06-11T20:15:04.871Z
nn,CNN,2023-06-14T21:13:23.923Z
26,Canada Newswire,2020-06-11T20:20:37.871Z
27,"Canadian Press, The",2020-06-11T20:19:20.654Z
207,Canjex Publishing Ltd,2019-08-19T19:09:16.980Z
cl,Causality Link,2023-03-13T18:25:12.222Z
30,Centaur Communications Limited,2020-06-17T16:35:35.131Z
228,China Knowledge,2020-06-17T16:18:08.226Z
31,Cision,2020-06-11T20:24:28.877Z
237,City AM,2019-08-19T19:09:16.980Z
8298,Content Exchange,2023-03-13T18:43:42.667Z
8174,ContentEngine,2020-06-11T20:23:17.691Z
8299,CryptoQuant,2023-03-13T18:43:57.927Z
176,DGAP,2019-08-19T19:09:16.980Z
8225,DVV Media Group,2020-09-03T23:54:28.674Z
6025,Data Licensing,2019-08-19T19:09:16.980Z
36,Datamonitor,2019-08-19T19:09:16.980Z
8261,Dennis Publishing,2021-12-04T19:37:54.325Z
6059,Dig Media,2019-08-19T19:09:16.980Z
42,EFE News Service,2020-06-11T20:15:14.055Z
8143,EIN News,2020-06-17T16:27:13.184Z
6042,ET Net News,2019-08-19T19:09:16.980Z
41,Economist Intelligence Unit,2020-06-11T20:19:33.606Z
224,Edgar Online,2019-08-19T19:09:16.980Z
8204,Edison Investment Research Limited,2020-06-17T17:17:02.258Z
279,Elsevier CBNB,2019-08-19T19:09:16.980Z
6032,Equities.com,2020-06-17T16:54:01.186Z
mip,European Commission MIP ,2022-08-22T17:29:02.397Z
6073,FFC Information Solution,2020-06-11T20:20:16.553Z
47,"Federal Information & News Dispatch, Inc.",2020-06-11T20:14:18.765Z
48,Filing Services Canada,2019-08-19T19:09:16.980Z
51,Forbes Inc.,2020-06-17T17:04:44.394Z
8275,Forkast,2021-12-04T19:38:26.344Z
54,Gale Group,2020-06-11T20:14:06.330Z
gn,Globe News Wire,2023-06-14T21:13:23.901Z
58,GlobeNewswire,2019-08-19T19:09:16.980Z
8271,Government Executive Media,2021-12-04T19:39:22.789Z
166,Guardian,2020-06-11T20:19:51.937Z
62,HT Media,2020-06-11T20:11:33.119Z
8216,Hearst,2020-06-17T17:16:15.530Z
8269,IAM Newswire,2021-12-04T19:39:35.933Z
63,InPublic,2019-08-19T19:09:16.980Z
177,Independent Digital News and Media,2019-08-19T19:09:16.980Z
8138,Independent News and Media,2020-06-11T20:24:19.179Z
65,Independent Newspapers,2020-06-17T16:52:05.022Z
6034,Informatics India Limited,2020-06-11T20:20:27.012Z
6015,Information Solutions,2019-08-19T19:09:16.980Z
8129,Inter Press Service,2019-08-19T19:09:16.980Z
245,Interfax America,2020-06-11T20:21:03.011Z
8280,International Data Group,2021-12-04T19:37:14.583Z
ii,Investor Place,2023-06-14T21:13:23.907Z
168,Investors Business Daily,2020-06-17T16:58:53.990Z
73,Itar-Tass,2019-08-19T19:09:16.980Z
75,Japan Corporate News,2019-08-19T19:09:16.980Z
77,Johnston Press,2019-08-19T19:09:16.980Z
222,Kabar,2019-08-19T19:09:16.980Z
8176,Kiplinger Washington Editors,2020-06-17T17:05:37.393Z
8297,Kyiv Independent,2023-03-13T18:43:27.309Z
79,Kyodo News,2020-06-11T20:24:04.468Z
lese,Les Echoes,2023-06-14T21:13:23.911Z
6030,M-Brain Oy,2019-08-19T19:09:16.980Z
82,M2 Communications,2020-06-11T20:14:42.332Z
8180,MENAFN,2020-06-17T16:48:42.790Z
8293,MJH Life Sciences,2023-03-13T18:41:19.125Z
mtn,MT Newswires,2020-09-04T00:31:55.253Z
8161,Market Exclusive,2020-06-11T20:23:41.802Z
mw,MarketWatch,2023-06-14T21:13:23.916Z
87,Marketwire,2019-08-19T19:09:16.980Z
88,Marketwire - Canada,2020-06-17T16:32:13.039Z
8212,Media-OutReach,2020-06-17T17:18:38.231Z
8137,Metropolis Business Media,2019-08-19T19:09:16.980Z
8219,Modular Finance,2020-06-17T17:20:14.089Z
95,Mondaq,2019-08-19T19:09:16.980Z
230,Moodys,2021-12-04T19:37:34.705Z
6057,Multimedia Investments Ltd,2020-06-11T20:18:38.646Z
8226,NTB Norway,2020-09-03T23:55:27.550Z
8277,National Journal Group,2023-03-13T18:42:38.503Z
96,"National Journal, Inc.",2019-08-19T19:09:16.980Z
169,Need to Know News,2020-06-17T17:24:28.018Z
8156,NetworkNewsWire,2019-08-19T19:09:16.980Z
6078,Networld Alliance,2020-06-17T16:40:29.820Z
8288,New Republic,2023-03-13T18:42:57.341Z
220,New Straits Times,2020-06-17T16:32:53.423Z
100,New York Times Digital,2020-06-11T20:18:27.082Z
6027,NewMediaWire,2020-06-17T17:13:28.282Z
8296,News Data,2023-03-13T18:42:39.150Z
8240,News Direct,2020-09-03T23:54:43.255Z
101,News Ltd.,2019-08-19T19:09:16.980Z
8105,NewsBank,2019-08-19T19:09:16.980Z
102,NewsRx.com,2020-06-11T20:12:09.685Z
8206,NewsUSA,2020-06-17T17:25:07.146Z
8104,NewsVoir,2020-06-17T17:03:43.855Z
271,Newsfile Corp,2020-06-17T16:34:22.904Z
8213,Newswire.com,2020-06-17T17:03:00.121Z
108,OMX,2020-06-17T16:10:26.333Z
8274,OTC PR Wire,2021-12-04T19:38:45.630Z
8294,Orbit Financial Tech,2023-03-13T18:41:18.349Z
6018,Oslo Bors ASA,2020-06-17T16:29:52.049Z
110,PR Newswire,2019-08-19T19:09:16.980Z
111,PR Web,2020-06-11T20:19:41.902Z
6040,PR.com,2019-08-19T19:09:16.980Z
8214,Packaging Machinery Manufacturers Institute,2020-06-17T17:23:35.491Z
221,Pakistan Press International,2020-06-11T20:14:53.430Z
6063,Pedia Content Solutions,2019-08-19T19:09:16.980Z
243,Penton Business Media,2019-08-19T19:09:16.980Z
109,People Support Transcription & Captioning,2020-06-17T17:08:27.267Z
215,Plus Media Solutions Pakistan,2019-08-19T19:09:16.980Z
227,Polish Press Agency,2019-08-19T19:09:16.980Z
8201,Pressat,2020-06-17T17:19:33.212Z
8142,Presscut,2020-06-17T17:15:31.801Z
112,ProQuest Information & Learning,2019-08-19T19:09:16.980Z
6071,Progressive Media Group,2020-06-17T16:38:44.475Z
8279,Public Technologies,2022-03-16T16:48:04.651Z
6028,Publisher Agents FZ-LLC,2019-08-19T19:09:16.980Z
8133,Publishers Weekly,2019-08-19T19:09:16.980Z
8248,Quartz News Magazine,2021-06-03T14:13:36.498Z
8189,Questex,2020-06-17T16:33:36.901Z
15,RWE Australian Business News PTY LTD,2019-08-19T19:09:16.980Z
8186,Reportable,2019-08-19T19:09:16.980Z
re,Reuters,2023-06-14T21:13:23.928Z
8227,Ritzau Denmark,2020-09-03T23:55:15.144Z
119,Roy Morgan International Limited,2019-08-19T19:09:16.980Z
8128,Russell Publishing,2020-06-17T16:55:00.893Z
6068,SBWire,2019-08-19T19:09:16.980Z
8286,SPH Media,2023-03-13T18:41:17.406Z
8228,STT Info Finland,2020-09-03T23:54:57.247Z
121,San Francisco Chronicle,2019-08-19T19:09:16.980Z
225,Schaeffers Investment Research,2020-06-17T16:49:37.152Z
12,SeeNews,2019-08-19T19:09:16.980Z
206,Selig Multimedia Inc,2020-06-17T17:12:09.877Z
8224,Sightline Media Group,2020-06-17T17:22:22.557Z
122,Solo Syndication,2020-06-11T20:23:53.357Z
123,SourceMedia,2020-06-17T16:28:27.604Z
