marker,complexity,rank
cavitation_technologies,0.00763893588529558,bottom
hard_flooring,0.018805655231444087,bottom
ge_healthcare,0.0206144763033002,bottom
turbine,0.029137137744421383,bottom
humacyte,0.03373030100169792,bottom
kale,0.039768517304250385,bottom
hydrogen,0.04163160054434044,bottom
physical_therapy,0.0420644740531542,bottom
fabric,0.04317769122370396,bottom
boron,0.04324041055225679,bottom
sdg6_clean_water_sanitation,6.907721343939416,top
sdg3_good_health_well_being,9.840182191816343,top
sdg12_responsible_consumption_production,10.928788460849367,top
sdg15_life_on_land,11.819130459280323,top
sdg7_affordable_clean_energy,13.547830448935988,top
sdg2_zero_hunger,15.503770273213616,top
sdg8_decent_work_economic_growth,18.2483182395188,top
sdg1_no_poverty,20.027864311621702,top
sdg17_partnerships_for_the_goals,20.77637981712875,top
sdg13_climate_action,22.825613864391396,top
